entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-19T10:00:00+00:00,2026-04-19T22:00:00+00:00,1776592800000,1776636000000,LONG,3,k7_b3,2309.88,2274.58,0.01,-0.3782145300000018,-0.016373773962283834,0.025214530000000002,max_hold,,,
2026-04-19T11:00:00+00:00,2026-04-19T22:00:00+00:00,1776596400000,1776636000000,LONG,4,k7_b4,2317.54,2271.19,0.01,-0.4887380149999991,-0.02108865499624598,0.025238015000000003,stop,,,
2026-04-19T23:00:00+00:00,2026-04-20T07:00:00+00:00,1776639600000,1776668400000,LONG,3,k7_b3,2269.89,2329.32,0.01,0.569004345000003,0.025067485428809457,0.025295655,target,,,
2026-04-20T00:00:00+00:00,2026-04-20T07:00:00+00:00,1776643200000,1776668400000,LONG,4,k7_b4,2263.35,2322.6,0.01,0.567277275,0.02506361256544503,0.025222725,target,,,
2026-04-20T06:00:00+00:00,2026-04-20T07:00:00+00:00,1776664800000,1776668400000,LONG,5,k7_b5,2270.15,2329.58,0.01,0.5690014849999984,0.02506448846992482,0.025298515,target,,,
2026-04-19T21:00:00+00:00,2026-04-20T09:00:00+00:00,1776632400000,1776675600000,LONG,3,k7_b3,2280.52,2292.68,0.01,0.09644739999999855,0.00422918457193967,0.025152600000000004,max_hold,,,
2026-04-19T22:00:00+00:00,2026-04-20T10:00:00+00:00,1776636000000,1776679200000,LONG,3,k7_b3,2275.72,2307.78,0.01,0.295390750000004,0.01298010080326244,0.025209250000000002,max_hold,,,
2026-04-20T13:00:00+00:00,2026-04-20T14:00:00+00:00,1776690000000,1776693600000,SHORT,1,k7_b1,2316.47,2293.31,0.01,0.20624620999999854,0.008903469934857716,0.02535379,target,,,
2026-04-20T14:00:00+00:00,2026-04-20T14:00:00+00:00,1776693600000,1776693600000,SHORT,2,k7_b2,2308.3,2285.22,0.01,0.20553564000000385,0.00890419962743161,0.02526436,target_entry_bar,,,
2026-04-20T08:00:00+00:00,2026-04-20T20:00:00+00:00,1776672000000,1776715200000,LONG,6,k7_b6,2297.98,2330.39,0.01,0.29864396499999857,0.012995934037720022,0.025456035000000002,max_hold,,,
2026-04-20T19:00:00+00:00,2026-04-20T23:00:00+00:00,1776711600000,1776726000000,SHORT,2,k7_b2,2331.73,2308.41,0.01,0.20767923000000163,0.008906658575392589,0.025520769999999998,target,,,
2026-04-20T20:00:00+00:00,2026-04-21T02:00:00+00:00,1776715200000,1776736800000,SHORT,2,k7_b2,2329.22,2313.78,0.01,0.12886349999999602,0.005532474390568347,0.025536500000000004,max_hold,,,
2026-04-21T10:00:00+00:00,2026-04-21T12:00:00+00:00,1776765600000,1776772800000,SHORT,1,k7_b1,2323.16,2299.93,0.01,0.20687300500000017,0.00890481090411337,0.025426995,target,,,
2026-04-21T11:00:00+00:00,2026-04-21T12:00:00+00:00,1776769200000,1776772800000,SHORT,2,k7_b2,2328.51,2305.22,0.01,0.20741448500000417,0.008907605507384729,0.025485515000000004,target,,,
2026-04-21T20:00:00+00:00,2026-04-21T20:00:00+00:00,1776801600000,1776801600000,LONG,1,k7_b1,2298.19,2321.17,0.01,0.2043935200000002,0.00889367371714263,0.025406480000000002,target_entry_bar,,,
2026-04-21T22:00:00+00:00,2026-04-22T02:00:00+00:00,1776808800000,1776823200000,LONG,2,k7_b2,2312.41,2335.53,0.01,0.20563633000000345,0.008892727933195387,0.025563670000000004,target,,,
2026-04-21T23:00:00+00:00,2026-04-22T02:00:00+00:00,1776812400000,1776823200000,LONG,3,k7_b3,2311.22,2371.73,0.01,0.5793437750000022,0.025066578473706625,0.025756225,target,,,
